Codigo,Campo,Valor,Fuente,FuenteURL
38004098,ZonaInspeccionCodigo,601,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38004098
38004098,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38004098
38004131,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38004131
38004131,ZonaInspeccionCodigo,601,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38004131
38004131,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38004131
38004773,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38004773
38004773,ZonaInspeccionCodigo,728,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38004773
38004773,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38004773
38004840,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38004840
38004840,ZonaInspeccionCodigo,728,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38004840
38004840,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38004840
38005111,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005111
38005111,ZonaInspeccionCodigo,601,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005111
38005111,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005111
38005704,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005704
38005704,ZonaInspeccionCodigo,717,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005704
38005704,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005704
38005716,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005716
38005716,ZonaInspeccionCodigo,717,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005716
38005716,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005716
38005731,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005731
38005731,ZonaInspeccionCodigo,717,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005731
38005731,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38005731
38006289,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38006289
38006289,ZonaInspeccionCodigo,711,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38006289
38006289,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38006289
38006381,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38006381
38006381,ZonaInspeccionCodigo,711,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38006381
38006381,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38006381
38006952,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38006952
38006952,ZonaInspeccionCodigo,707,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38006952
38006952,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38006952
38007762,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38007762
38007762,ZonaInspeccionCodigo,728,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38007762
38007762,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38007762
38007981,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38007981
38007981,ZonaInspeccionCodigo,711,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38007981
38007981,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38007981
38008781,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38008781
38008781,ZonaInspeccionCodigo,728,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38008781
38008781,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38008781
38009059,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38009059
38009059,ZonaInspeccionCodigo,722,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38009059
38009059,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38009059
38009965,FuenteZonaInspeccion,Directorio operativo de centros educativos,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38009965
38009965,ZonaInspeccionCodigo,728,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38009965
38009965,ZonaInspeccionNombre,TF0 - Provincia Santa Cruz de Tenerife,Directorio operativo de centros educativos,https://www.gobiernodecanarias.org/educacion/centroseducativos/buscador-centros-openlayers/resultados/detalle?codigo=38009965
