Codigo,Isla,Municipio,CentroProfesoresCodigo,CentroProfesoresNombre,URLWebCEP
,TENERIFE,GARACHICO,38700391,C.PROFES. NORTE DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_orotava
,TENERIFE,GRANADILLA DE ABONA,38700388,C.PROFES. TENERIFE SUR,http://www.gobiernodecanarias.org/educacion/cep_granadilla
,TENERIFE,GUÍA DE ISORA,38700388,C.PROFES. TENERIFE SUR,http://www.gobiernodecanarias.org/educacion/cep_granadilla
,TENERIFE,GÜÍMAR,38706050,C.PROFES. SANTA CRUZ DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_sc_tenerife
,TENERIFE,ICOD DE LOS VINOS,38700391,C.PROFES. NORTE DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_orotava
,TENERIFE,LA GUANCHA,38700391,C.PROFES. NORTE DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_orotava
,TENERIFE,LA MATANZA DE ACENTEJO,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
,TENERIFE,LA OROTAVA,38700391,C.PROFES. NORTE DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_orotava
,TENERIFE,LA VICTORIA DE ACENTEJO,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
,TENERIFE,LOS REALEJOS,38700391,C.PROFES. NORTE DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_orotava
,TENERIFE,LOS SILOS,38700391,C.PROFES. NORTE DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_orotava
,TENERIFE,PUERTO DE LA CRUZ,38700391,C.PROFES. NORTE DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_orotava
,TENERIFE,SAN CRISTÓBAL DE LA LAGUNA,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
,TENERIFE,SAN JUAN DE LA RAMBLA,38700391,C.PROFES. NORTE DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_orotava
,TENERIFE,SAN MIGUEL DE ABONA,38700388,C.PROFES. TENERIFE SUR,http://www.gobiernodecanarias.org/educacion/cep_granadilla
,TENERIFE,SANTA CRUZ DE TENERIFE,38706050,C.PROFES. SANTA CRUZ DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_sc_tenerife
,TENERIFE,SANTA ÚRSULA,38700391,C.PROFES. NORTE DE TENERIFE,http://www.gobiernodecanarias.org/educacion/cep_orotava
,TENERIFE,SANTIAGO DEL TEIDE,38700388,C.PROFES. TENERIFE SUR,http://www.gobiernodecanarias.org/educacion/cep_granadilla
,TENERIFE,TACORONTE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
,TENERIFE,TEGUESTE,38700050,C.PROFES. LA LAGUNA,http://www.gobiernodecanarias.org/educacion/cep_laguna
